 Num spins       Tempreature         MC cycles       Mean energy      Mean abs mag          Mean mag        Energy var      Mean abs var          Heat cap          Mag susc        Acc states
        20         1.0000000                 2        -2.0000000         1.0000000         1.0000000         0.0000000         0.0000000         0.0000000         0.0000000                 0
        20         1.0000000              1000        -1.9972800        0.99930500        0.99930500       0.023520640      0.0015767900       0.023520640      0.0015767900               294
        20         1.0000000              2000        -1.9969350        0.99922000        0.99922000       0.025342310      0.0016766400       0.025342310      0.0016766400               605
        20         1.0000000              3000        -1.9969333        0.99921667        0.99921667       0.026264889      0.0017612222       0.026264889      0.0017612222               902
        20         1.0000000              4000        -1.9969950        0.99923500        0.99923500       0.025007990      0.0016609100       0.025007990      0.0016609100              1208
        20         1.0000000              5000        -1.9969400        0.99921900        0.99921900       0.025774560      0.0017260156       0.025774560      0.0017260156              1494
        20         1.0000000              6000        -1.9969117        0.99921333        0.99921333       0.025738212      0.0017124622       0.025738212      0.0017124622              1784
        20         1.0000000              7000        -1.9969814        0.99923000        0.99923000       0.025343862      0.0016914114       0.025343862      0.0016914114              2013
        20         1.0000000              8000        -1.9969638        0.99922687        0.99922687       0.025427474      0.0016871611       0.025427474      0.0016871611              2314
        20         1.0000000              9000        -1.9970033        0.99923667        0.99923667       0.025079107      0.0016669289       0.025079107      0.0016669289              2586
        20         1.0000000             10000        -1.9970310        0.99924400        0.99924400       0.024886016      0.0016513856       0.024886016      0.0016513856              2846
        20         1.0000000             11000        -1.9970191        0.99924045        0.99924045       0.024922036      0.0016574181       0.024922036      0.0016574181              3132
        20         1.0000000             12000        -1.9970700        0.99925333        0.99925333       0.024646040      0.0016386622       0.024646040      0.0016386622              3374
        20         1.0000000             13000        -1.9971315        0.99926885        0.99926885       0.024059541      0.0016007810       0.024059541      0.0016007810              3606
        20         1.0000000             14000        -1.9971000        0.99926000        0.99926000       0.024236000      0.0016181029       0.024236000      0.0016181029              3920
        20         1.0000000             15000        -1.9970607        0.99924833        0.99924833       0.024552128      0.0016546656       0.024552128      0.0016546656              4243
        20         1.0000000             16000        -1.9970756        0.99925219        0.99925219       0.024341712      0.0016406856       0.024341712      0.0016406856              4526
        20         1.0000000             17000        -1.9970871        0.99925559        0.99925559       0.024229439      0.0016295169       0.024229439      0.0016295169              4806
        20         1.0000000             18000        -1.9970878        0.99925528        0.99925528       0.024234251      0.0016331555       0.024234251      0.0016331555              5118
        20         1.0000000             19000        -1.9971037        0.99926000        0.99926000       0.024116121      0.0016209600       0.024116121      0.0016209600              5414
        20         1.0000000             20000        -1.9971055        0.99926050        0.99926050       0.024006748      0.0016132559       0.024006748      0.0016132559              5702
        20         1.0000000             21000        -1.9971129        0.99926310        0.99926310       0.023962905      0.0016051695       0.023962905      0.0016051695              5976
        20         1.0000000             22000        -1.9971323        0.99926818        0.99926818       0.023828638      0.0015948678       0.023828638      0.0015948678              6265
        20         1.0000000             23000        -1.9971226        0.99926630        0.99926630       0.023839552      0.0015920676       0.023839552      0.0015920676              6560
        20         1.0000000             24000        -1.9970967        0.99925917        0.99925917       0.024134929      0.0016154664       0.024134929      0.0016154664              6886
        20         1.0000000             25000        -1.9970772        0.99925440        0.99925440       0.024302896      0.0016256323       0.024302896      0.0016256323              7205
        20         1.0000000             26000        -1.9970577        0.99924962        0.99924962       0.024506361      0.0016386153       0.024506361      0.0016386153              7545
        20         1.0000000             27000        -1.9970700        0.99925278        0.99925278       0.024348262      0.0016281451       0.024348262      0.0016281451              7836
        20         1.0000000             28000        -1.9970814        0.99925554        0.99925554       0.024301348      0.0016258092       0.024301348      0.0016258092              8094
        20         1.0000000             29000        -1.9970672        0.99925207        0.99925207       0.024373364      0.0016293431       0.024373364      0.0016293431              8362
        20         1.0000000             30000        -1.9970670        0.99925183        0.99925183       0.024349671      0.0016297653       0.024349671      0.0016297653              8642
        20         1.0000000             31000        -1.9970797        0.99925500        0.99925500       0.024269977      0.0016247642       0.024269977      0.0016247642              8930
        20         1.0000000             32000        -1.9970647        0.99925109        0.99925109       0.024427326      0.0016365933       0.024427326      0.0016365933              9253
        20         1.0000000             33000        -1.9970721        0.99925303        0.99925303       0.024360101      0.0016325721       0.024360101      0.0016325721              9523
        20         1.0000000             34000        -1.9970759        0.99925397        0.99925397       0.024269226      0.0016264937       0.024269226      0.0016264937              9802
        20         1.0000000             35000        -1.9970831        0.99925600        0.99925600       0.024175063      0.0016191570       0.024175063      0.0016191570             10064
        20         1.0000000             36000        -1.9970744        0.99925361        0.99925361       0.024314228      0.0016293837       0.024314228      0.0016293837             10368
        20         1.0000000             37000        -1.9970816        0.99925541        0.99925541       0.024210524      0.0016225559       0.024210524      0.0016225559             10652
        20         1.0000000             38000        -1.9970921        0.99925816        0.99925816       0.024110291      0.0016151313       0.024110291      0.0016151313             10928
        20         1.0000000             39000        -1.9970969        0.99925962        0.99925962       0.024050396      0.0016097066       0.024050396      0.0016097066             11218
        20         1.0000000             40000        -1.9971005        0.99926075        0.99926075       0.023995160      0.0016044038       0.023995160      0.0016044038             11493
        20         1.0000000             41000        -1.9970822        0.99925610        0.99925610       0.024088224      0.0016103510       0.024088224      0.0016103510             11823
        20         1.0000000             42000        -1.9970843        0.99925679        0.99925679       0.024031825      0.0016054816       0.024031825      0.0016054816             12125
        20         1.0000000             43000        -1.9970886        0.99925802        0.99925802       0.023953697      0.0015995556       0.023953697      0.0015995556             12396
        20         1.0000000             44000        -1.9970864        0.99925739        0.99925739       0.023966107      0.0016005464       0.023966107      0.0016005464             12710
        20         1.0000000             45000        -1.9970858        0.99925744        0.99925744       0.023948701      0.0015978889       0.023948701      0.0015978889             12968
        20         1.0000000             46000        -1.9970991        0.99926087        0.99926087       0.023847895      0.0015910397       0.023847895      0.0015910397             13262
        20         1.0000000             47000        -1.9971009        0.99926138        0.99926138       0.023844783      0.0015900758       0.023844783      0.0015900758             13546
        20         1.0000000             48000        -1.9970917        0.99925906        0.99925906       0.023914972      0.0015943630       0.023914972      0.0015943630             13845
        20         1.0000000             49000        -1.9970918        0.99925908        0.99925908       0.023928055      0.0015957221       0.023928055      0.0015957221             14144
        20         1.0000000             50000        -1.9970984        0.99926080        0.99926080       0.023883487      0.0015922333       0.023883487      0.0015922333             14442
        20         1.0000000             51000        -1.9971112        0.99926392        0.99926392       0.023773252      0.0015856284       0.023773252      0.0015856284             14692
        20         1.0000000             52000        -1.9971058        0.99926250        0.99926250       0.023815525      0.0015893606       0.023815525      0.0015893606             15050
        20         1.0000000             53000        -1.9971053        0.99926245        0.99926245       0.023854283      0.0015910889       0.023854283      0.0015910889             15334
        20         1.0000000             54000        -1.9971091        0.99926324        0.99926324       0.023831093      0.0015908373       0.023831093      0.0015908373             15606
        20         1.0000000             55000        -1.9971124        0.99926427        0.99926427       0.023787532      0.0015865731       0.023787532      0.0015865731             15895
        20         1.0000000             56000        -1.9971125        0.99926446        0.99926446       0.023810652      0.0015868092       0.023810652      0.0015868092             16187
        20         1.0000000             57000        -1.9971053        0.99926254        0.99926254       0.023870656      0.0015914107       0.023870656      0.0015914107             16498
        20         1.0000000             58000        -1.9970950        0.99925991        0.99925991       0.023978183      0.0015986676       0.023978183      0.0015986676             16832
        20         1.0000000             59000        -1.9971025        0.99926186        0.99926186       0.023896811      0.0015932488       0.023896811      0.0015932488             17116
        20         1.0000000             60000        -1.9971163        0.99926550        0.99926550       0.023773787      0.0015842039       0.023773787      0.0015842039             17358
        20         1.0000000             61000        -1.9971244        0.99926762        0.99926762       0.023727840      0.0015806954       0.023727840      0.0015806954             17628
        20         1.0000000             62000        -1.9971294        0.99926887        0.99926887       0.023693436      0.0015784382       0.023693436      0.0015784382             17925
        20         1.0000000             63000        -1.9971216        0.99926667        0.99926667       0.023779229      0.0015858413       0.023779229      0.0015858413             18234
        20         1.0000000             64000        -1.9971225        0.99926687        0.99926687       0.023774247      0.0015856361       0.023774247      0.0015856361             18524
        20         1.0000000             65000        -1.9971240        0.99926715        0.99926715       0.023733911      0.0015837900       0.023733911      0.0015837900             18815
