      Jacobi:               ARMADILLO:
         10.148981407383805831         10.148981407382443365
         39.764499795801690141         39.764499795801206972
         88.977778668086287439         88.977778668084653191
         157.68628102514497868         157.68628102514315970
         245.71106009854423746         245.71106009854301533
         352.81947870569536008         352.81947870569308634
         478.72777299327566425         478.72777299327231049
         623.10216867607516633         623.10216867607186941
         785.55986426614379070         785.55986426613810636
         965.67007935879996694         965.67007935879530578
         1162.9552100817354585         1162.9552100817327300
         1376.8921014158954677         1376.8921014158866001
         1606.9134373166098158         1606.9134373165936722
         1852.4092465927508329         1852.4092465927355988
         2112.7285212440024225         2112.7285212439915085
         2387.1809432812242449         2387.1809432812096929
         2675.0387156051228885         2675.0387156050933299
         2975.5384921675813530         2975.5384921675531587
         3287.8834023402760067         3287.8834023402455387
         3611.2451641462184853         3611.2451641461980216
         3944.7662807647316185         3944.7662807646997862
         4287.5623144932196737         4287.5623144931914794
         4638.7242321412732053         4638.7242321412322781
         4997.3208156403943576         4997.3208156403416069
         5362.4011314793388010         5362.4011314793106067
         5732.9970524179225322         5732.9970524179225322
         6108.1258247929654317         6108.1258247929226854
         6486.7926746087932770         6486.7926746087796346
         6867.9934455028978846         6867.9934455028651428
         7250.7172615899344237         7250.7172615898816730
         7633.9492081243915891         7633.9492081243542998
         8016.6730228727592475         8016.6730228726855785
         8397.8737910578020092         8397.8737910577601724
         8776.5406367296363896         8776.5406367296000099
         9151.6694034250667755         9151.6694034249685501
         9522.2653170072517241         9522.2653170071498607
         9887.3456236243855528         9887.3456236243382591
         10245.942195790999904         10245.942195790921687
         10597.104099680354921         10597.104099680291256
         10939.900116820632320         10939.900116820526819
         11273.421213504849220         11273.421213504787374
         11596.782951366558336         11596.782951366474663
         11909.127832724509062         11909.127832724414475
         12209.627574475061920         12209.627574474976427
         12497.485304495641685         12497.485304495567107
         12771.937674725866600         12771.937674725781108
         13032.256885307500852         13032.256885307435368
         13277.752614389857627         13277.752614389746668
         13507.773848435670516         13507.773848435599575
         13721.710608089591915         13721.710608089535526
         13918.995564864577318         13918.995564864460903
         14099.105544019899753         14099.105544019828812
         14261.562908903826610         14261.562908903730204
         14405.936821336177672         14405.936821336059438
         14531.844370135850113         14531.844370135731879
         14638.951551404086786         14638.951551404021302
         14726.974051576702550         14726.974051576571583
         14795.677628947147241         14795.677628947029007
         14844.876831101862990         14844.876831101753851
         14874.416369275450052         14874.416369275348188
