      Analytical-1:             Jacobi-1:               ARMADILLO-1:        Analytical-2:             Jacobi-2:               ARMADILLO-2:       Analytical-3:             Jacobi-3:               ARMADILLO-3:
       0.014214872614480804705      0.0013522650796524784706     -0.0013522650796585521712       0.028426872789683005349      0.0027042569033143199798     -0.0027042569033102919519       0.042633128666769874726      0.0040557022701348576302      0.0040557022701660939284
       0.028426872789683005349      0.0027042569032961574250     -0.0027042569033101531741       0.056830769547671168562      0.0054063280898692563092     -0.0054063280898595002244       0.085188732812656792204      0.0081040296094382745923      0.0081040296094938638061
       0.042633128666769874726      0.0040557022701454030142     -0.0040557022701654694280       0.085188732812656792204      0.0081040296095063000387     -0.0081040296094930311388        0.12758942888816612871       0.012137620497716076692       0.012137620497795292840
       0.056830769547671168562      0.0054063280898317203627     -0.0054063280898592330770        0.11347784224909687745       0.010795181043853560587      -0.010795181043841374155        0.16975811503023616189       0.016149140211694106017       0.016149140211796926547
       0.071016926475173144939      0.0067558614375997803544     -0.0067558614376343733426        0.14167523317258384763       0.013477607268657931794      -0.013477607268644217070        0.21161811126506108183       0.020131294162553443894       0.020131294162676303949
       0.085188732812656792204      0.0081040296094515400227     -0.0081040296094926789899        0.16975811503023616189       0.016149140211813656220      -0.016149140211795351418        0.25309329894374626990       0.024076841160479280773       0.024076841160617423743
       0.099343324823367204490      0.0094505601772518037229     -0.0094505601773008790500        0.19770378982117220446       0.018807620605710902162      -0.018807620605688080140        0.29410825915724431168       0.027978606582113398765       0.027978606582265089925
        0.11347784224909687745       0.010795181043782809890      -0.010795181043840952617        0.22548967044217863021       0.021450899732467856168      -0.021450899732443948209        0.33458840987887739082       0.031829495416964150023       0.031829495417134034962
        0.12758942888816612871       0.012137620497726171048      -0.012137620497793589341        0.25309329894374626990       0.024076841160644180118      -0.024076841160615050641        0.37446014158506368830       0.035622505169059064112       0.035622505169249168988
        0.14167523317258384763       0.013477607268564100601      -0.013477607268643672367        0.28049236468171673264       0.026683322471992603625      -0.026683322471955494420        0.41365095110763422381       0.039350738590345275825       0.039350738590556336161
        0.15573240874427174418       0.014814870581404996144      -0.014814870581496639851        0.30766472234986996792       0.029268236976911294472      -0.029268236976866892490        0.45208957347434175489       0.043007416222712827047       0.043007416222949505780
        0.16975811503023616189       0.016149140211689571450      -0.016149140211794719979        0.33458840987887739082       0.031829495417182759875      -0.031829495417130967971        0.48970611149782106164       0.046585888725841274882       0.046585888726107131663
        0.18374951781657036798       0.017480146539801337535      -0.017480146539922029186        0.36124166618715297661       0.034365027654612842478      -0.034365027654553653713        0.52643216287735572489       0.050079648968429091305       0.050079648968721440783
        0.19770378982117220446       0.018807620605553559273      -0.018807620605687330739        0.38760294876925688312       0.036872784344222322983      -0.036872784344154814484        0.56220094458232749979       0.053482343860817453673       0.053482343861132743135
        0.21161811126506108183       0.020131294162524748098      -0.020131294162673535331        0.41365095110763422381       0.039350738590628334124      -0.039350738590552464258        0.59694741429116660036       0.056787785907516610817       0.056787785907853494116
        0.22548967044217863021       0.021450899732282067284      -0.021450899732443101664        0.43936461989361685898       0.041796887586287391481      -0.041796887586201647569        0.63060838866498203359       0.059989964458616831799       0.059989964458973962791
        0.23931566428755779441       0.022766170658415463279      -0.022766170658588026632        0.46472317204376861755       0.044209254230256955776      -0.044209254230164328481        0.66312265824079519305       0.063083056639618759198       0.063083056639989518177
        0.25309329894374626990       0.024076841160428377048      -0.024076841160614041032        0.48970611149782106164       0.046585888726199904675      -0.046585888726102385460        0.69443109873545949551       0.066061437939800501939       0.066061437940176451211
        0.26681979032536912166       0.025382646387448672132      -0.025382646387647492259        0.51429324578462298767       0.048924870158304226142      -0.048924870158201239079        0.72447677855786607459       0.068919692439880761436       0.068919692440259680555
        0.28049236468171673264       0.026683322471740950760      -0.026683322471954387667        0.53846470234271337496       0.051224308043863735207      -0.051224308043750339803        0.75320506233393680340       0.071652622660396986243       0.071652622660776169039
        0.29410825915724431168       0.027978606582032272687      -0.027978606582261100061        0.56220094458232749979       0.053482343861248331229      -0.053482343861127192020        0.78056371025615167714       0.074255259012850446942       0.074255259013225743958
        0.30766472234986996792       0.029268236976623507317      -0.029268236976865490834        0.58548278767585304472       0.055697152552072061449      -0.055697152551948084231        0.80650297307695351101       0.076722868836453475549       0.076722868836821778160
        0.32115901486695841438       0.030551953056275098913      -0.030551953056527601793        0.60829141406397668757       0.057866943996301864472      -0.057866943996172565123        0.83097568257329301744       0.079050965004053161400       0.079050965004410528314
        0.33458840987887739082       0.031829495416867276125      -0.031829495417129552437        0.63060838866498203359       0.059989964459104178074      -0.059989964458967703909        0.85393733731781229501       0.081235314081560053290       0.081235314081908663320
        0.34795019367001606136       0.033100605901825556898      -0.033100605902094293320        0.65241567377491338497       0.062064498008306330512      -0.062064498008165977505        0.87534618360069882392       0.083271944026087549307       0.083271944026424501994
        0.36124166618715297661       0.034365027654274904467      -0.034365027654552078584        0.67369564364655731836       0.064088867901308632646      -0.064088867901167773100        0.89516329135506234049       0.085157151408741790788       0.085157151409061146441
        0.37446014158506368830       0.035622505168959150978      -0.035622505169244117473        0.69443109873545949551       0.066061437940315950734      -0.066061437940169595584        0.91335262494776991993       0.086887508148967423915       0.086887508149270431534
        0.38760294876925688312       0.036872784343860820488      -0.036872784344153239355        0.71460527960146458248       0.067980613794773547820      -0.067980613794621280732        0.92988110870701323751       0.088459867748223133810       0.088459867748509030116
