      Jacobi:               ARMADILLO:
         10.146332988417396948         10.146332988417942289
         39.722187080226561307         39.722187080227037370
         88.763882869891560290         88.763882869891460814
         157.01161434034059994         157.01161434033880937
         244.06814020921939345         244.06814020921720498
         349.42337042057994267         349.42337042057812369
         472.45930892994772421         472.45930892994391570
         612.45404495933019007         612.45404495932723421
         768.58608793275084281         768.58608793274413529
         939.93922164345872261         939.93922164345462988
         1125.5078941593988020         1125.5078941593892523
         1324.2031246514334271         1324.2031246514247869
         1534.8588968018129890         1534.8588968018077594
         1756.2390029266746296         1756.2390029266678084
         1987.0442993465139807         1987.0442993465076142
         2225.9203307462589692         2225.9203307462503290
         2471.4652789376755209         2471.4652789376646069
         2722.2381894577606545         2722.2381894577474668
         2976.7674277691412499         2976.7674277691266980
         3233.5593154619155030         3233.5593154619073175
         3491.1068957895713538         3491.1068957895545282
         3747.8987771062220418         3747.8987771062093088
         4002.4280023116020857         4002.4280023115784388
         4253.2008922536888349         4253.2008922536751925
         4498.7458111892110537         4498.7458111891955923
         4737.6218028544790286         4737.6218028544526533
         4968.4270464524124691         4968.4270464523915507
         5189.8070829067710292         5189.8070829067510203
         5400.4627630618751937         5400.4627630618442709
         5599.1578710983358178         5599.1578710983021665
         5784.7263782599347905         5784.7263782599129627
         5956.0792839811392696         5956.0792839811165322
         6112.2110035216155666         6112.2110035215791868
         6252.2052628613646448         6252.2052628613364504
         6375.2404616884250572         6375.2404616883823110
         6480.5944595667742760         6480.5944595667588146
         6567.6487106979193413         6567.6487106978738666
         6635.8915204623262980         6635.8915204622917372
         6684.9191418941127267         6684.9191418940999938
         6714.4190172333883311         6714.4190172333728697
