      Analytical:             Jacobi:               ARMADILLO:
         9.8647764202646612830         9.8647764202645351617         9.8647764202649614873
         39.401215250468339946         39.401215250468439422         39.401215250468567319
         88.435984922906754946         88.435984922907380223         88.435984922906484940
         156.68132991132370080         156.68132991132438292         156.68132991132327447
         243.73675939475788255         243.73675939475941732         243.73675939475756991
         349.09139749693122212         349.09139749693287058         349.09139749693002841
         472.12698130902936100         472.12698130903265792         472.12698130902828098
         612.12148910229552712         612.12148910229689136         612.12148910229427656
         768.25337743862746720         768.25337743863133255         768.25337743862667139
         939.60640231415436574         939.60640231415732160         939.60640231415266044
         1125.1749960433689921         1125.1749960433733122         1125.1749960433689921
         1323.8701683301628691         1323.8701683301655976         1323.8701683301640060
         1534.5258968958944479         1534.5258968958996775         1534.5258968958953574
         1755.9059701617718474         1755.9059701617782139         1755.9059701617736664
         1986.7112418299548153         1986.7112418299634555         1986.7112418299570891
         2225.5872547906137697         2225.5872547906378713         2225.5872547906142245
         2471.1321896148233463         2471.1321896148365340         2471.1321896148242558
         2721.9050909883849272         2721.9050909884003886         2721.9050909883867462
         2976.4343238105775526         2976.4343238105871023         2976.4343238105780074
         3233.2262093341014406         3233.2262093341200853         3233.2262093341000764
         3490.7737906658990141         3490.7737906659176588         3490.7737906658985594
         3747.5656761894215379         3747.5656761894356350         3747.5656761894219926
         4002.0949090116146181         4002.0949090116173466         4002.0949090116141633
         4252.8678103851771084         4252.8678103851852939         4252.8678103851752894
         4498.4127452093862303         4498.4127452094144246         4498.4127452093835018
         4737.2887581700451847         4737.2887581700779265         4737.2887581700442752
         4968.0940298382274705         4968.0940298382474793         4968.0940298382283800
         5189.4741031041048700         5189.4741031041112365         5189.4741031041048700
         5400.1298316698375857         5400.1298316698530471         5400.1298316698357667
         5598.8250039566300984         5598.8250039566482883         5598.8250039566291889
         5784.3935976858456343         5784.3935976858765571         5784.3935976858438153
         5955.7466225613725328         5955.7466225613925417         5955.7466225613716233
         6111.8785108977053824         6111.8785108977263008         6111.8785108977044729
         6251.8730186909706390         6251.8730186909979238         6251.8730186909679105
         6374.9086025030683231         6374.9086025030837845         6374.9086025030674136
         6480.2632406052416627         6480.2632406052716760         6480.2632406052416627
         6567.3186700886762992         6567.3186700886872131         6567.3186700886744802
         6635.5640150770923356         6635.5640150771187109         6635.5640150770914261
         6684.5987847495316601         6684.5987847495616734         6684.5987847495298411
         6714.1352235797348840         6714.1352235797521644         6714.1352235797339745
