      Jacobi:               ARMADILLO:
         10.150367846724575926         10.150367846724783760
         39.786662262265096501         39.786662262267505241
         89.089905157801837277         89.089905157803300995
         158.04035487995022891         158.04035487995048470
         246.57455811235766419         246.57455811235834631
         354.60765058397856819         354.60765058397595340
         482.03538466945406071         482.03538466945127539
         628.73459353895600543         628.73459353894838841
         794.56340824659821465         794.56340824659105238
         979.36142805569807024         979.36142805568931635
         1182.9498886662051973         1182.9498886661929191
         1405.1318409324421737         1405.1318409324217100
         1645.6923441908854784         1645.6923441908613768
         1904.3986756504295954         1904.3986756504011737
         2181.0005563334425460         2181.0005563334148064
         2475.2303936643752422         2475.2303936643506859
         2786.8035406247818173         2786.8035406247408901
         3115.4185713030678926         3115.4185713030324223
         3460.7575726152863353         3460.7575726152463176
         3822.4864519383586412         3822.4864519383149855
         4200.2552603724479923         4200.2552603724143410
         4593.6985313279446927         4593.6985313278810281
         5002.4356341145567058         5002.4356341145057741
         5426.0711421942760353         5426.0711421942160086
         5864.1952157432406239         5864.1952157431524029
         6316.3839981544870170         6316.3839981544142574
         6782.2000260988234004         6782.2000260987670117
         7261.1926527474206523         7261.1926527473333408
         7752.8984837473471998         7752.8984837472626168
         8256.8418255289852823         8256.8418255288670480
         8772.5351455108648224         8772.5351455108157097
         9299.4795437583943567         9299.4795437582633895
         9837.1652356379436242         9837.1652356378290278
         10385.072045002565574         10385.072045002432787
         10942.669907429239174         10942.669907429113664
         11509.419383023032424         11509.419383022868715
         12084.772178290684678         12084.772178290515512
         12668.171676579957420         12668.171676579786435
         13259.053476570501516         13259.053476570359635
         13856.845938296215536         13856.845938296051827
         14460.970736170002056         14460.970736169869269
         15070.843418477028536         15070.843418476830266
         15685.873972793609937         15685.873972793511712
         16305.467396787300459         16305.467396787102189
         16929.024273841983813         16929.024273841816466
         17555.941352956197079         17555.941352955953334
         18185.612132348414889         18185.612132348276646
         18817.427446209654590         18817.427446209429036
         19450.776054030739033         19450.776054030568048
         20085.045231939413497         20085.045231939060614
         20719.621365469607554         20719.621365469403827
         21353.890543195542705         21353.890543195426289
         21987.239150650286319         21987.239150650068041
         22619.054463958051201         22619.054463957712869
         23248.725242605094536         23248.725242604879895
         23875.642320776183624         23875.642320775968983
         24499.199196682056936         24499.199196681714966
         25118.792619310697773         25118.792619310483133
         25733.823172034808522         25733.823172034528397
         26343.695852507113159         26343.695852506767551
         26947.820648287204676         26947.820648286964570
         27545.613107640707312         27545.613107640510862
         28136.494904957708059         28136.494904957486142
         28719.894400245269935         28719.894400245091674
         29295.247192152444768         29295.247192152146454
         29861.996663990816160         29861.996663990492380
         30419.594522225688706         30419.594522225324909
         30967.501326913585217         30967.501326913174125
         31505.187013574992307         31505.187013574515731
         32032.131405996355170         32032.131405996155081
         32547.824719467502291         32547.824719467003888
         33051.768053960935504         33051.768053960629913
         33543.473876787371410         33543.473876787196787
         34022.466494248219533         34022.466494247768424
         34488.282511835219339         34488.282511834739125
         34940.471282533006161         34940.471282532722398
         35378.595342786618858         35378.595342786058609
         35802.230835711525287         35802.230835711074178
         36210.967921142902924         36210.967921142619161
         36604.411172118554532         36604.411172118074319
         36982.179957414067758         36982.179957413820375
         37343.908809762942838         37343.908809762702731
         37689.247779394376266         37689.247779394027020
         38017.862772550855880         38017.862772550266527
         38329.435874648042955         38329.435874647671881
         38623.665657759083842         38623.665657758720045
         38900.267472104336775         38900.267472104016633
         39158.973721246016794         39158.973721245631168
         39399.534120669966796         39399.534120669493859
         39621.715939421759686         39621.715939421323128
         39825.304224397361395         39825.304224396983045
         40010.102006732136942         40010.102006731598522
         40175.930489348371339         40175.930489348058472
         40322.629213737447571         40322.629213736930978
         40450.056201262414106         40450.056201261904789
         40558.088055482621712         40558.088055482228810
         40646.619979064424115         40646.619979063973005
         40715.565503215388162         40715.565503214922501
         40764.854668978769041         40764.854668978354312
         40794.414982911162951         40794.414982910770050
