      Analytical:             Jacobi:               ARMADILLO:
         9.8512112694365896459         9.8512112694366553711         9.8512112694366802401
         39.184785296623886097         39.184785296623985573         39.184785296624248474
         87.345458510066350755         87.345458510066393387         87.345458510066634972
         153.25740105329248308         153.25740105329325047         153.25740105329259677
         235.44824904609322402         235.44824904609384930         235.44824904609325245
         332.08199476059701283         332.08199476059837707         332.08199476059672861
         440.99999999999994316         441.00000000000068212         440.99999999999994316
         559.76921650883946313         559.76921650884105475         559.76921650883957682
         685.73653625053077576         685.73653625053145788         685.73653625053066207
         816.08805745677375398         816.08805745677398136         816.08805745677364030
         947.91194254322590496         947.91194254322772395         947.91194254322635970
         1078.2634637494693379         1078.2634637494688832         1078.2634637494693379
         1204.2307834911607642         1204.2307834911616737         1204.2307834911609916
         1323.0000000000000000         1323.0000000000022737         1323.0000000000000000
         1431.9180052394026461         1431.9180052394040104         1431.9180052394035556
         1528.5517509539067760         1528.5517509539101866         1528.5517509539065486
         1610.7425989467074032         1610.7425989467130876         1610.7425989467076306
         1676.6545414899337629         1676.6545414899371735         1676.6545414899337629
         1724.8152147033761139         1724.8152147033795245         1724.8152147033758865
         1754.1487887305636377         1754.1487887305675031         1754.1487887305636377
