      Jacobi:               ARMADILLO:
         10.149926145760531426         10.149926145761853036
         39.779600724242541787         39.779600724242129672
         89.054171846230502751         89.054171846230133269
         157.92748565989549547         157.92748565989239751
         246.29920323587683129         246.29920323587359121
         354.03719255994940340         354.03719255994531068
         480.97967319611473158         480.97967319610626191
         626.93582306047710517         626.93582306047278507
         791.68616342794769025         791.68616342794177854
         974.98292215368257985         974.98292215367337121
         1176.5504194109307718         1176.5504194109200853
         1396.0854881229745388         1396.0854881229606690
         1633.2579327524756536         1633.2579327524647397
         1887.7110273991877420         1887.7110273991695522
         2159.0620531484460116         2159.0620531484305502
         2446.9028741780944074         2446.9028741780716700
         2750.8005519109433408         2750.8005519109110537
         3070.2979963684260838         3070.2979963683947062
         3404.9146537884698773         3404.9146537884444115
         3754.1472294973132193         3754.1472294972763848
         4117.4704449620112428         4117.4704449619630395
         4494.3378278935124399         4494.3378278934615082
         4884.1825342169649957         4884.1825342169095165
         5286.4182006762503079         5286.4182006761921002
         5700.4398267925762411         5700.4398267925116670
         6125.6246848518594561         6125.6246848517866965
         6561.3332565532382432         6561.3332565531900400
         7006.9101949107043765         7006.9101949106297980
         7461.6853099608561024         7461.6853099608078992
         7924.9745767957811040         7924.9745767956728741
         8396.0811644033346965         8396.0811644032164622
         8874.2964837694289599         8874.2964837693416484
         9358.9012536646514491         9358.9012536645223008
         9849.1665825123218383         9849.1665825122290698
         10344.355064712093736         10344.355064712000967
         10843.721889768332403         10843.721889768223264
         11346.515962556521117         11346.515962556415616
         11851.981033042129638         11851.981033042051422
         12359.356833752894090         12359.356833752783132
         12867.880223293270319         12867.880223293144809
         13376.786334181919301         13376.786334181826533
         13885.309723285225118         13885.309723285095970
         14392.685523116060722         14392.685523115957039
         14898.150592267518732         14898.150592267398679
         15400.944663249536461         15400.944663249412770
         15900.311486003398386         15900.311486003238315
         16395.499965373113810         16395.499965372902807
         16885.765290823423129         16885.765290823266696
         17370.370056705374736         17370.370056705141906
         17848.585371382840094         17848.585371382687299
         18319.691953554807696         18319.691953554662177
         18782.981214120751247         18782.981214120572986
         19237.756321964618110         19237.756321964396193
         19683.333252052951138         19683.333252052747412
         20119.041814271204203         20119.041814270920440
         20544.226661449403764         20544.226661449123640
         20958.248275062829634         20958.248275062582252
         21360.483927122590103         21360.483927122437308
         21750.328616810467793         21750.328616810293170
         22127.195980447155307         22127.195980446867907
         22490.519173425185727         22490.519173424982000
         22839.751722779248666         22839.751722778975818
         23174.368349105872767         23174.368349105705420
         23493.865756597733707         23493.865756597417203
         23797.763389992815064         23797.763389992567681
         24085.604157297198981         24085.604157296827907
         24356.955117172507016         24356.955117172150494
         24611.408129934137833         24611.408129933974124
         24848.580471131281229         24848.580471131106606
         25068.115406700198946         25068.115406699969753
         25269.682728662573936         25269.682728662435693
         25452.979250222670089         25452.979250222324481
         25617.729258775831113         25617.729258775616472
         25763.684924404795311         25763.684924404475169
         25890.626658693403442         25890.626658693119680
         25998.363409946723550         25998.363409946516185
         26086.732848020033998         26086.732848019852099
         26155.601236377537134         26155.601236377366149
         26204.861730448352318         26204.861730448170420
         26234.415424598435493         26234.415424598202662
