      Jacobi:               ARMADILLO:
         10.151035111169786518         10.151035111172161507
         39.797331446702742141         39.797331446697569390
         89.143906361870861588         89.143906361870151045
         158.21097983557717725         158.21097983557785938
         246.99098195358990893         246.99098195358968155
         355.47079076865941261         355.47079076865310299
         483.63367921480210043         483.63367921477907885
         631.45968080749855744         631.45968080747366002
         798.92569061388667251         798.92569061386370777
         986.00550190558328723         986.00550190555475183
         1192.6698232916107827         1192.6698232915723565
         1418.8862890691384564         1418.8862890690993481
         1664.6194670783170295         1664.6194670782720095
         1929.8308656971157689         1929.8308656970466473
         2214.4789406648537806         2214.4789406647646501
         2518.5191020480719999         2518.5191020479901454
         2841.9037215009043393         2841.9037215007915620
         3184.5821398972229872         3184.5821398970997507
         3546.5006753767229384         3546.5006753765997018
         3927.6026318267813622         3927.6026318266267481
         4327.8283078130007198         4327.8283078128524721
         4747.1150059656501980         4747.1150059654737561
         5185.3970428249986071         5185.3970428248112512
         5642.6057591480839619         5642.6057591478520408
         6118.6695306767869624         6118.6695306765268469
         6613.5137793672347470         6613.5137793669646271
         7127.0609850795844977         7127.0609850793907754
         7659.2306977274693054         7659.2306977271682626
         8209.9395498840203800         8209.9395498836802290
         8779.1012698456015642         8779.1012698452941549
         9366.6266951490233623         9366.6266951486450125
         9972.4237865407794743         9972.4237865403447358
         10596.397642397234449         10596.397642396843366
         11238.450513592806601         11238.450513592524658
         11898.481818813990685         11898.481818813570499
         12576.388160315793357         12576.388160315400455
         13272.063340121496367         13272.063340121103465
         13985.398376658964480         13985.398376658500638
         14716.281521833672741         14716.281521833136139
         15464.598278535226200         15464.598278534649580
         16230.231418574066993         16230.231418573641349
         17013.061001047062746         17013.061001046429737
         17812.964391125293332         17812.964391124696704
         18629.816279267739446         18629.816279267099162
         19463.488700850499299         19463.488700849880843
         20313.851056214149139         20313.851056213450647
         21180.770131122473686         21180.770131121607847
         22064.110117631320463         22064.110117630491004
         22963.732635364631278         22963.732635363703594
         23879.496753191517200         23879.496753190531308
         24811.259011304366140         24811.259011303634907
         25758.873443693624722         25758.873443692977162
         26722.191601013062609         26722.191601012204046
         27701.062573835097282         27701.062573834245995
