      Jacobi:               ARMADILLO:
         10.148041641722139516         10.148041641722084449
         39.749482099641888055         39.749482099641319621
         88.901835841259838844         88.901835841258673554
         157.44662686528874929         157.44662686528801032
         245.12709986589800337         245.12709986589689493
         351.61144274094681350         351.61144274094527873
         476.49599300284336323         476.49599300283915682
         619.30713306234736137         619.30713306234338233
         779.50318506883661485         779.50318506883058944
         956.47649890542300000         956.47649890541754303
         1149.5557703424053670         1149.5557703423990006
         1358.0085933431287231         1358.0085933431253125
         1581.0442411495403121         1581.0442411495364468
         1817.8166672450595343         1817.8166672450511214
         2067.4277155061727171         2067.4277155061590747
         2328.9305276830073126         2328.9305276829986724
         2601.3331354380843550         2601.3331354380684388
         2883.6022233970920752         2883.6022233970725210
         3174.6670489805164834         3174.6670489805028410
         3473.4235041709375764         3473.4235041709121106
         3778.7383038223961194         3778.7383038223747462
         4089.4532846329339009         4089.4532846329134372
         4404.3897984775985606         4404.3897984775740042
         4722.3531834400773732         4722.3531834400591833
         5042.1372955847637058         5042.1372955847436970
         5362.5290842798003723         5362.5290842797830919
         5682.3131937163379916         5682.3131937162916074
         6000.2765731687632069         6000.2765731687131847
         6315.2130785081180875         6315.2130785080735222
         6625.9280475126424790         6625.9280475126079182
         6931.2428316192008424         6931.2428316192062994
         7229.9992669238135932         7229.9992669237863083
         7521.0640674684000260         7521.0640674683472753
         7803.3331241459172816         7803.3331241458727163
         8075.7356929102916183         8075.7356929102352296
         8337.2384563945834088         8337.2384563945706759
         8586.8494435157426778         8586.8494435156844702
         8823.6217921698971622         8823.6217921698516875
         9046.6573407001669693         9046.6573407001378655
         9255.1100344255391974         9255.1100344254718948
         9448.1891341425507562         9448.1891341424870916
         9625.1622140881718224         9625.1622140881299856
         9785.3579372468575457         9785.3579372467957000
         9928.1685957190984482         9928.1685957190329646
         10053.052401953706067         10053.052401953595108
         10159.535508740407749         10159.535508740333171
         10247.213703873690974         10247.213703873649138
         10315.753570721251890         10315.753570721190044
         10364.891848324845341         10364.891848324774401
         10394.417308930076615         10394.417308930034778
