      Analytical:             Jacobi:               ARMADILLO:
         9.8611604407774393621         9.8611604407775530490         9.8611604407776223269
         39.343452912705515701         39.343452912705728863         39.343452912705600966
         88.144349199106272863         88.144349199106130754         88.144349199106116544
         155.76308606591669559         155.76308606591686612         155.76308606591680928
         241.50580377011328892         241.50580377011377209         241.50580377011291944
         344.49266599961492830         344.49266599961669044         344.49266599961435986
         463.66688818445572906         463.66688818445766174         463.66688818445544484
         597.80558153653032605         597.80558153653214504         597.80558153653032605
         745.53230154339189539         745.53230154339496494         745.53230154339212277
         905.33117215157824376         905.33117215157835744         905.33117215157824376
         1075.5624407062266528         1075.5624407062298360         1075.5624407062271075
         1254.4793040322556408         1254.4793040322545039         1254.4793040322554134
         1440.2458329987393881         1440.2458329987405250         1440.2458329987389334
         1630.9558116362038618         1630.9558116362079545         1630.9558116362040892
         1824.6522974919937496         1824.6522974919962508         1824.6522974919944318
         2019.3477025080060230         2019.3477025080130716         2019.3477025080057956
         2213.0441883637963656         2213.0441883638100080         2213.0441883637963656
         2403.7541670012610666         2403.7541670012669783         2403.7541670012606119
         2589.5206959677443592         2589.5206959677525447         2589.5206959677448140
         2768.4375592937735746         2768.4375592937863075         2768.4375592937731199
         2938.6688278484220973         2938.6688278484352850         2938.6688278484207331
         3098.4676984566076499         3098.4676984566085594         3098.4676984566067404
         3246.1944184634694466         3246.1944184634771773         3246.1944184634689918
         3380.3331118155447257         3380.3331118155651893         3380.3331118155433614
         3499.5073340003855265         3499.5073340003928024         3499.5073340003841622
         3602.4941962298871658         3602.4941962298994440         3602.4941962298867111
         3688.2369139340835318         3688.2369139340908077         3688.2369139340826223
         3755.8556508008941819         3755.8556508009005483         3755.8556508008928176
         3804.6565470872947117         3804.6565470872997139         3804.6565470872942569
         3834.1388395592230154         3834.1388395592284724         3834.1388395592221059
