      Jacobi:               ARMADILLO:
         10.142714162387752808         10.142714162387456156
         39.664419887942997889         39.664419887942898413
         88.472238632991889062         88.472238632991519580
         156.09335689163322058         156.09335689163211214
         241.83716460597673859         241.83716460597582909
         344.82461141807470995         344.82461141807380045
         463.99917975338820497         463.99917975338604492
         598.13809189347068695         598.13809189346829953
         745.86495627954491283         745.86495627954320753
         905.66392470088476330         905.66392470087987476
         1075.8952602336448763         1075.8952602336405562
         1254.8121690529485477         1254.8121690529453645
         1440.5787277451752288         1440.5787277451706814
         1631.2887238238456575         1631.2887238238390637
         1824.9852168185693699         1824.9852168185655046
         2019.6806195270958142         2019.6806195270896751
         2213.3770935117040608         2213.3770935116949659
         2404.0870496092602480         2404.0870496092529720
         2589.8535430883430308         2589.8535430883393929
         2768.7703541083369601         2768.7703541083251366
         2939.0015472722607228         2939.0015472722438972
         3098.8003092279868724         3098.8003092279873272
         3246.5268702697467234         3246.5268702697339904
         3380.6653242683764802         3380.6653242683651115
         3499.8391697359261343         3499.8391697359179489
         3602.8253990521279775         3602.8253990521179730
         3688.5669446258357311         3688.5669446258189055
         3756.1831512810904314         3756.1831512810772438
         3804.9769030471138649         3804.9769030470897633
         3834.4226345692168252         3834.4226345692086397
