      Jacobi:               ARMADILLO:
        0.84271027768038020422        0.84271027768047268580
         2.1754826764081762747         2.1754826764086079294
         4.2387982179630059321         4.2387982179627856638
         7.0639562995023839065         7.0639562995020650504
         10.662633185096934696         10.662633185096785482
         15.039884034738056684         15.039884034737241336
         20.198017456170301642         20.198017456169846895
         26.137991613270948221         26.137991613269907276
         32.859999621868389852         32.859999621866968766
         40.363745873653122942         40.363745873651566853
         48.648589167735309502         48.648589167733589989
         57.713622554184020430         57.713622554181789326
         67.557720643996688636         67.557720643992894338
         78.179569084937440948         78.179569084934527723
         89.577683726819643084         89.577683726816687226
         101.75042355394181470         101.75042355393794935
         114.69599970475525197         114.69599970475134398
         128.41248195478476646         128.41248195477990635
         142.89780350883586379         142.89780350882955418
         158.14976463927439454         158.14976463926771544
         174.16603552049616610         174.16603552048988490
         190.94415849361314486         190.94415849360541415
         208.48154992123434681         208.48154992122542239
         226.77550174377307712         226.77550174376563064
         245.82318281626788803         245.82318281625990153
         265.62164008262379866         265.62164008261396475
         286.16779962893139100         286.16779962892064759
         307.45846764668851847         307.45846764667680873
         329.49033132903269916         329.49033132902042098
         352.25995971753928870         352.25995971752598734
         375.76380451299559127         375.76380451298422258
         399.99820086056291757         399.99820086054887724
         424.95936811735339234         424.95936811733986360
         450.64341060888295942         450.64341060886891910
         477.04631837932652161         477.04631837930747906
         504.16396793962854872         504.16396793961143885
         531.99212301671377645         531.99212301670115721
         560.52643530630120949         560.52643530628256485
         589.76244523141042464         589.76244523138473141
         619.69558270832908420         619.69558270831407754
         650.32116792140834605         650.32116792138651817
         681.63441210758446687         681.63441210756286637
         713.63041835192666440         713.63041835189869744
         746.30418239455707408         746.30418239453831575
         779.65059344989833789         779.65059344987639633
         813.66443503838024753         813.66443503834977946
         848.34038583130302413         848.34038583127585298
         883.67302050906994282         883.67302050903197141
         919.65681063286422159         919.65681063283568619
         956.28612553033633503         956.28612553030495746
         993.55523319498945511         993.55523319495603118
         1031.4583011997494850         1031.4583011997199264
         1069.9893976245955400         1069.9893976245691647
         1109.1424919983064683         1109.1424919982750907
         1148.9114562543513784         1148.9114562543127249
         1189.2900657009552106         1189.2900657009101906
         1230.2720000052361229         1230.2720000051988336
         1271.8508441914782452         1271.8508441914361811
         1314.0200896532699062         1314.0200896532189745
         1356.7731351796728632         1356.7731351796328454
         1400.1032879952701933         1400.1032879952331314
         1444.0037648138279565         1444.0037648137740689
         1488.4676929056131485         1488.4676929055694927
         1533.4881111784484347         1533.4881111783802226
         1579.0579712717344592         1579.0579712716937593
         1625.1701386643312617         1625.1701386642782836
         1671.8173937949213723         1671.8173937948638468
         1718.9924331958770836         1718.9924331958204675
         1766.6878706397230872         1766.6878706396748839
         1814.8962382983759198         1814.8962382983211228
         1863.6099879148221135         1863.6099879147650427
         1912.8214919872996234         1912.8214919872416431
         1962.5230449656057772         1962.5230449655437042
         2012.7068644594467060         2012.7068644593855424
         2063.3650924586918336         2063.3650924586340807
         2114.4897965653108258         2114.4897965652380663
         2166.0729712367215143         2166.0729712366555759
         2218.1065390406961342         2218.1065390406265578
         2270.5823519211530765         2270.5823519210825907
         2323.4921924751010920         2323.4921924750119615
         2376.8277752401968428         2376.8277752401027101
         2430.5807479930476802         2430.5807479929494548
         2484.7426930577184976         2484.7426930576466475
         2539.3051286246395648         2539.3051286245636220
         2594.2595100791791083         2594.2595100791027107
         2649.5972313403403859         2649.5972313402394320
         2705.3096262087183277         2705.3096262086392016
         2761.3879697242641669         2761.3879697241513895
         2817.8234795325643063         2817.8234795324628976
         2874.6073172607912056         2874.6073172607125343
         2931.7305899019288518         2931.7305899018465425
         2989.1843512076206935         2989.1843512075142826
         3046.9596030893917487         3046.9596030892716954
         3105.0472970279947731         3105.0472970278947287
         3163.4383354906799468         3163.4383354905789929
         3222.1235733558969514         3222.1235733557955427
         3281.0938193457163834         3281.0938193456058798
         3340.3398374653061182         3340.3398374651915219
         3399.8523484494821787         3399.8523484493916840
         3459.6220312161253787         3459.6220312160121466
         3519.6395243257925358         3519.6395243256920367
         3579.8954274482116489         3579.8954274480888671
         3640.3803028342886137         3640.3803028341721983
         3701.0846767945063220         3701.0846767943694431
         3761.9990411824715011         3761.9990411823669092
         3823.1138548844446632         3823.1138548843096032
         3884.4195453132879265         3884.4195453131792419
         3945.9065099082490633         3945.9065099081140033
         4007.5651176385717918         4007.5651176384426435
         4069.3857105123233850         4069.3857105121901441
         4131.3586050889498438         4131.3586050888188765
         4193.4740939961111508         4193.4740939959829120
         4255.7224474501736040         4255.7224474500490032
         4318.0939147802546358         4318.0939147801327636
         4380.5787259555827404         4380.5787259554490447
         4443.1670931158450912         4443.1670931156968436
         4505.8492121043964289         4505.8492121042636427
         4568.6152640041636914         4568.6152640040118058
         4631.4554166755224287         4631.4554166753905520
         4694.3598262967989285         4694.3598262966379480
         4757.3186389060392685         4757.3186389058491841
         4820.3219919447947177         4820.3219919446437416
         4883.3600158033505068         4883.3600158032086256
         4946.4228353666312614         4946.4228353664602764
