      Analytical:             Jacobi:               ARMADILLO:
         9.8664839098964876030         9.8664839098967913600         9.8664839098967203057
         39.428508686590248544         39.428508686590419074         39.428508686590120647
         88.573935444343078416         88.573935444343575796         88.573935444342637879
         157.11633874588096660         157.11633874588190452         157.11633874587968762
         244.79571377793126885         244.79571377793328679         244.79571377792998987
         351.27946263854119024         351.27946263854312292         351.27946263853976916
         476.16365599483833648         476.16365599484117865         476.16365599483719961
         618.97456532534943108         618.97456532535272800         618.97456532534852158
         779.17045993454667041         779.17045993454883046         779.17045993454598829
         956.14366192293437052         956.14366192294119173         956.14366192293289259
         1149.2228513174623004         1149.2228513174691216         1149.2228513174607087
         1357.6756126181312538         1357.6756126181383024         1357.6756126181296622
         1580.7112131008557299         1580.7112131008616416         1580.7112131008532288
         1817.4836023375323748         1817.4836023375369223         1817.4836023375310106
         2067.0946215551075511         2067.0946215551198293         2067.0946215551089153
         2328.5974106594480872         2328.5974106594567274         2328.5974106594485420
         2601.0000000000004547         2601.0000000000131877         2601.0000000000000000
         2883.2690732504479456         2883.2690732504634070         2883.2690732504479456
         3174.3338871314817879         3174.3338871315008873         3174.3338871314804237
         3473.0903331068107036         3473.0903331068257103         3473.0903331068093394
         3778.4051256450256915         3778.4051256450393339         3778.4051256450256915
         4089.1201011597995603         4089.1201011598127479         4089.1201011598022887
         4404.0566113210788899         4404.0566113210925323         4404.0566113210797994
         4722.0199940719030565         4722.0199940719166989         4722.0199940719030565
         5041.8041053908018512         5041.8041053908254980         5041.8041053908018512
         5362.1958946091981488         5362.1958946092072438         5362.1958946091990583
         5681.9800059280960340         5681.9800059281224094         5681.9800059280951245
         5999.9433886789211101         5999.9433886789438475         5999.9433886789202006
         6314.8798988401995302         6314.8798988402213581         6314.8798988401986207
         6625.5948743549743085         6625.5948743550243307         6625.5948743549770370
         6930.9096668931888416         6930.9096668932197645         6930.9096668931915701
         7229.6661128685173026         7229.6661128685273070         7229.6661128685163931
         7520.7309267495520544         7520.7309267495511449         7520.7309267495493259
         7803.0000000000000000         7803.0000000000627551         7802.9999999999963620
         8075.4025893405505485         8075.4025893405869283         8075.4025893405514580
         8336.9053784448915394         8336.9053784449661180         8336.9053784448915394
         8586.5163976624680799         8586.5163976625190116         8586.5163976624644420
         8823.2887868991438154         8823.2887868991529103         8823.2887868991419964
         9046.3243873818682914         9046.3243873818773864         9046.3243873818682914
         9254.7771486825367901         9254.7771486825749889         9254.7771486825367901
         9447.8563380770647200         9447.8563380770901858         9447.8563380770647200
         9624.8295400654533296         9624.8295400654897094         9624.8295400654496916
         9785.0254346746514784         9785.0254346747187810         9785.0254346746460214
         9927.8363440051616635         9927.8363440052053193         9927.8363440051616635
         10052.720537361459719         10052.720537361494280         10052.720537361456081
         10159.204286222067822         10159.204286222118753         10159.204286222066003
         10246.883661254119943         10246.883661254167237         10246.883661254118124
         10315.426064555656922         10315.426064555716948         10315.426064555655103
         10364.571491313410661         10364.571491313485240         10364.571491313407023
         10394.133516090103512         10394.133516090134435         10394.133516090099874
