      Jacobi:               ARMADILLO:
         10.149552907176641270         10.149552907177353589
         39.773634339306106256         39.773634339305957042
         89.023985333864757763         89.023985333863976166
         157.83215895477027857         157.83215895476834589
         246.06671413482442290         246.06671413482160915
         353.55571553160490339         353.55571553160160647
         480.08901638148813618         480.08901638148353186
         625.41903343399064852         625.41903343398757897
         789.26132965019030507         789.26132965018337018
         971.29520413014756741         971.29520413013779034
         1171.1643329776184146         1171.1643329776104565
         1388.4774726112254939         1388.4774726112123062
         1622.8092284436656882         1622.8092284436511363
         1873.7008890665438230         1873.7008890665331364
         2140.6613250001555571         2140.6613250001428241
         2423.1679505649271960         2423.1679505648994564
         2720.6677471456578132         2720.6677471456537205
         3032.5783459250842498         3032.5783459250674241
         3358.2891680094421645         3358.2891680094212461
         3697.1626197391287860         3697.1626197390842208
         4048.5353408578589551         4048.5353408578189374
         4411.7195031060355177         4411.7195031059909525
         4786.0041567008902348         4786.0041567008674974
         5170.6566220715294548         5170.6566220714930751
         5564.9239241259483606         5564.9239241259219853
         5968.0342662445873430         5968.0342662445482347
         6379.1985411152018060         6379.1985411151181324
         6797.6118754525650729         6797.6118754525032273
         7222.4552055799022128         7222.4552055798731089
         7652.8968807873270634         7652.8968807872743128
         8088.0942913292574303         8088.0942913292037701
         8527.1955178745447483         8527.1955178744810837
         8969.3409991796997929         8969.3409991796197573
         9413.6652147213426360         9413.6652147212698765
         9859.2983789940008137         9859.2983789939225971
         10305.368144156311246         10305.368144156285780
         10751.001307693399212         10751.001307693308263
         11195.325521751177803         11195.325521751075939
         11637.471000798501336         11637.471000798414025
         12076.572224272505991         12076.572224272420499
         12511.769630875000075         12511.769630874843642
         12942.211301202640243         12942.211301202614777
         13367.054625418733849         13367.054625418651995
         13785.467952698356385         13785.467952698276349
         14196.632219222334243         14196.632219222252388
         14599.742551529488992         14599.742551529416232
         14994.009842090035818         14994.009842089986705
         15378.662294015091902         15378.662294014946383
         15752.946931877328097         15752.946931877213501
         16116.131075686440454         16116.131075686287659
         16467.503775130146096         16467.503775130044232
         16806.377201274714025         16806.377201274539402
         17132.087992995137029         17132.087992995071545
         17443.998555499478243         17443.998555499343638
         17741.498308395210188         17741.498308395061031
         18024.004880849803158         18024.004880849661276
         18290.965251487479691         18290.965251487406931
         18541.856830766533676         18541.856830766359053
         18776.188483670332062         18776.188483670095593
         18993.501490626807936         18993.501490626607847
         19193.370444607538957         19193.370444607375248
         19375.404082311204547         19375.404082311069942
         19539.246047063752485         19539.246047063621518
         19684.575580191711197         19684.575580191565678
         19811.108134964862984         19811.108134964713827
         19918.595898521034542         19918.595898520914488
         20006.828174387308536         20006.828174387221225
         20075.631422699279938         20075.631422699127143
         20124.867696746885485         20124.867696746714500
         20154.415797818357532         20154.415797818157444
