      Jacobi:               ARMADILLO:
         1.3088911159080935942         1.3088911159081693114
         2.6838465122893730985         2.6838465122892665171
         4.7500011486424043028         4.7500011486422257789
         7.5760922200013061101         7.5760922200013816052
         11.175686391389550778         11.175686391389378471
         15.553737954183363357         15.553737954182661696
         20.712524565845690461         20.712524565845257030
         26.653021630420951738         26.653021630420742127
         33.375448458605930568         33.375448458604402902
         40.879532798202617982         40.879532798201168475
         49.164651852478371552         49.164651852477241789
         58.229912626332051673         58.229912626330062153
         68.074200213791939973         68.074200213789310965
         78.696208157678796624         78.696208157675982875
         90.094458299511842370         90.094458299508687560
         102.26731421557768442         102.26731421557417434
         115.21299060077777199         115.21299060077436138
         128.92956001424437318         128.92956001423971202
         143.41495786185447514         143.41495786185066663
         158.66698617344883360         158.66698617344232503
         174.68331653962900418         174.68331653962306405
         191.46149245260673410         191.46149245260062344
         208.99893121819067687         208.99893121818371355
         227.29292555549534427         227.29292555548832411
         246.34064496700497671         246.34064496699528490
         266.13913693850190612         266.13913693849099218
         286.68532801242292862         286.68532801240945673
         307.97602476679469419         307.97602476678349603
         330.00791472395906112         330.00791472394644188
         352.77756720728086748         352.77756720726915773
         376.28143415993957888         376.28143415992553855
         400.51585093651544867         400.51585093649941882
         425.47703707585577604         425.47703707584213362
         451.16109706181640604         451.16109706180026251
         477.56402107703763704         477.56402107702194826
         504.68168575402648912         504.68168575401250564
         532.50985492677159527         532.50985492675022215
         561.04418038556070769         561.04418038554115356
         590.28020263728524242         590.28020263726830308
         620.21335167280540190         620.21335167278266454
         650.83894774287875862         650.83894774285761287
         682.15220214388557451         682.15220214386079078
         714.14821801411142133         714.14821801408447755
         746.82199114152240327         746.82199114150159858
         780.16841078359470885         780.16841078357401784
         814.18226049962959223         814.18226049960605906
         848.85821899609823049         848.85821899606764873
         884.19086098521836448         884.19086098519414918
         920.17465805716597060         920.17465805713368354
         956.80397956585466090         956.80397956582237384
         994.07309352879769904         994.07309352876598041
         1031.9761675408321935         1031.9761675407980874
         1070.5072697019538737         1070.5072697019243151
         1109.6603695593014436         1109.6603695592646091
         1149.4293390631694365         1149.4293390631314651
         1189.8079535372648934         1189.8079535372223745
         1230.7898926629520702         1230.7898926629075049
         1272.3687414776059086         1272.3687414775606612
         1314.5379913869362554         1314.5379913868850963
         1357.2910411912016571         1357.2910411911518622
         1400.6211981253070462         1400.6211981252640726
         1444.5216789126129697         1444.5216789125595369
         1488.9856108323026547         1488.9856108322421733
         1534.0060328003735322         1534.0060328003255563
         1579.5758964640092472         1579.5758964639680926
         1625.6880673091411609         1625.6880673090745404
         1672.3353257810781543         1672.3353257810244941
         1719.5103684184421127         1719.5103684183868609
         1767.2058089995318824         1767.2058089994739021
         1815.4141797016457076         1815.4141797015856810
         1864.1279322728487386         1864.1279322727821182
         1913.3394392160780626         1913.3394392160314510
         1963.0409949856211824         1963.0409949855568357
         2013.2248171952942357         2013.2248171952282974
         2063.8830478388881602         2063.8830478388154006
         2115.0077545219864987         2115.0077545219264721
         2166.5909317055302381         2166.5909317054642997
         2218.6245019604739355         2218.6245019604075424
         2271.1003172338027980         2271.1003172337377691
         2324.0101601253859371         2324.0101601253168155
         2377.3457451756053160         2377.3457451755402872
         2431.0987201636457939         2431.0987201635598467
         2485.2606674159742397         2485.2606674158832902
         2539.8231051252519137         2539.8231051251627832
         2594.7774886790562050         2594.7774886789561606
         2650.1152119983617013         2650.1152119982803015
         2705.8276088858374351         2705.8276088857337527
         2761.9059543830671828         2761.9059543829985159
         2818.3414661375791184         2818.3414661374977186
         2875.1253057781323150         2875.1253057780181734
         2932.2485802991664059         2932.2485802990736374
         2989.7023434539009941         2989.7023434538000402
         3047.4775971552439842         3047.4775971551675866
         3105.5652928853860431         3105.5652928853014600
         3163.9563331127651509         3163.9563331126751109
         3222.6415727170856371         3222.6415727169833190
         3281.6118204215385958         3281.6118204214544676
         3340.8578402324860690         3340.8578402323814771
         3400.3703528857240599         3400.3703528856653975
         3460.1400373002388733         3460.1400373001283697
         3520.1575320374890907         3520.1575320373808609
         3580.4134367681390358         3580.4134367680117066
         3640.8983137439936399         3640.8983137438785889
         3701.6026892763852629         3701.6026892762665739
         3762.5170552197992038         3762.5170552196827884
         3823.6318704611717294         3823.6318704610616805
         3884.9375624142389825         3884.9375624141407570
         3946.4245285189263086         3946.4245285187907939
         4008.0831377451340813         4008.0831377450440414
         4069.9037321017326576         4069.9037321016025999
         4131.8766281487451124         4131.8766281485859508
         4193.9921185143939510         4193.9921185142839022
         4256.2404734157935309         4256.2404734156734776
         4318.6119421826260805         4318.6119421824687379
         4381.0967547845793888         4381.0967547844593355
         4443.6851233620536732         4443.6851233619054256
         4506.3672437588957109         4506.3672437587429158
         4569.1332970585353905         4569.1332970583653150
         4631.9734511219121487         4631.9734511217393447
         4694.8778621277888305         4694.8778621276142076
         4757.8366761147408397         4757.8366761145807686
         4820.8400305249015219         4820.8400305247441793
         4883.8780557488889826         4883.8780557487716578
         4946.9408766722517612         4946.9408766720525819
         5010.0186142219308749         5010.0186142217589804
         5073.1013869147272999         5073.1013869145444914
         5136.1793124048044774         5136.1793124046398589
         5199.2425090323231416         5199.2425090321094103
         5262.2810973711684710         5262.2810973710265898
         5325.2852017775003333         5325.2852017773138869
         5388.2449519361671264         5388.2449519360216073
         5451.1504844079499890         5451.1504844077808229
         5513.9919441743986681         5513.9919441742167692
         5576.7594861822644816         5576.7594861820489314
         5639.4432768858578129         5639.4432768856631810
         5702.0334957879886133         5702.0334957878912974
         5764.5203369789069257         5764.5203369787659540
         5826.8940106721838674         5826.8940106720228869
         5889.1447447392120012         5889.1447447390719390
         5951.2627862404360712         5951.2627862402378014
         6013.2384029532013301         6013.2384029530057887
         6075.0618848972644628         6075.0618848970307226
         6136.7235458558825485         6136.7235458556824597
         6198.2137248940716745         6198.2137248938824996
         6259.5227878721470915         6259.5227878719824730
         6320.6411289556490374         6320.6411289554707764
         6381.5591721204255009         6381.5591721202363260
         6442.2673726533948866         6442.2673726531866123
         6502.7562186481109165         6502.7562186479581214
         6563.0162324957645978         6563.0162324954935684
         6623.0379723694313725         6623.0379723692476546
         6682.8120337049476802         6682.8120337047994326
         6742.3290506738194381         6742.3290506736066163
         6801.5796976509363958         6801.5796976507117506
         6860.5546906763102015         6860.5546906761301216
         6919.2447889098839369         6919.2447889097093139
         6977.6407960794385872         6977.6407960792203085
         7035.7335619217246858         7035.7335619214727558
         7093.5139836164207736         7093.5139836161733911
         7150.9730072126176310         7150.9730072123775244
         7208.1016290473990011         7208.1016290472280161
         7264.8908971570826907         7264.8908971568152992
         7321.3319126790556766         7321.3319126789047004
         7377.4158312475592538         7377.4158312473109618
         7433.1338643779226913         7433.1338643777044126
         7488.4772808448615251         7488.4772808446359704
         7543.4374080497664181         7543.4374080495199451
         7598.0056333796092076         7598.0056333794182137
         7652.1734055565584640         7652.1734055563510992
         7705.9322359772259006         7705.9322359769530522
         7759.2737000424531288         7759.2737000422375786
         7812.1894384775359867         7812.1894384772749618
         7864.6711586408664516         7864.6711586405517664
         7916.7106358230721526         7916.7106358228002136
         7968.2997145354147506         7968.2997145351164363
         8019.4303097863421499         8019.4303097860984053
         8070.0944083480926565         8070.0944083478680113
         8120.2840700109372847         8120.2840700106889926
         8169.9914288262816626         8169.9914288260524700
         8219.2086943381673336         8219.2086943379508739
         8267.9281528024257568         8267.9281528021911072
         8316.1421683938424394         8316.1421683935022884
         8363.8431844005535822         8363.8431844002625439
         8411.0237244069539884         8411.0237244066138373
         8457.6763934620357759         8457.6763934617738414
         8503.7938792365803238         8503.7938792363547691
         8549.3689531657037151         8549.3689531654381426
         8594.3944715786437882         8594.3944715782745334
         8638.8633768145955401         8638.8633768143190537
