      Jacobi-1:               ARMADILLO-1:        Jacobi-2:               ARMADILLO-2:            Jacobi-3:               ARMADILLO-3:
        0.14101751235569998100       -0.14101751235480319835        0.23836017935825770664       -0.23836017935525821709        0.32652035259873596340       -0.32652035259894157671
        0.26567273294975213282       -0.26567273295066201610        0.39083897930045463642       -0.39083897929973632213        0.41344199286273303207       -0.41344199286286081874
        0.36066322172839060389       -0.36066322172767578680        0.40420662493097403445       -0.40420662493379672098        0.19878960616334803713       -0.19878960616333093969
        0.41735314547034141341       -0.41735314547020369025        0.27591380424933975579       -0.27591380425076506011       -0.15977824910542620662        0.15977824910535634584
        0.43291497558422531444       -0.43291497558526770284       0.053033393255051318460      -0.053033393252600966039       -0.40389551164861753341        0.40389551164833176200
        0.41007305973277463629       -0.41007305973190188997       -0.18750609449444430310        0.18750609449652258509       -0.36267126845623443021        0.36267126845598673945
        0.35578320014585823605       -0.35578320014629749579       -0.36786375881476929273        0.36786375881290211964      -0.069589042631595932065       0.069589042631565803387
        0.27926331015253169632       -0.27926331015290156712       -0.43537825401748320164        0.43537825401485485965        0.27083084117444966576       -0.27083084117440570093
        0.18987227654715979619       -0.18987227654600136173       -0.37647619324248854378        0.37647619324353293058        0.43145871378000727470       -0.43145871378013361808
       0.095257539996906226420      -0.095257539997607262872       -0.21525455783918664987        0.21525455784215635768        0.31367681950507780853       -0.31367681950526737911
