      Analytical:             Jacobi:               ARMADILLO:
         9.8027003852916436699         9.8027003852916454463         9.8027003852915441939
         38.416645054854143382         38.416645054854214436         38.416645054854186014
         83.523702385240994772         83.523702385241250568         83.523702385240994772
         141.46956685354348338         141.46956685354376759         141.46956685354348338
         207.55980913786498832         207.55980913786513042         207.55980913786495989
         276.44019086213501168         276.44019086213495484         276.44019086213495484
         342.53043314645651662         342.53043314645680084         342.53043314645657347
         400.47629761475900523         400.47629761475974419         400.47629761475906207
         445.58335494514585662         445.58335494514614084         445.58335494514585662
         474.19729961470835633         474.19729961470881108         474.19729961470829949
