      Jacobi:               ARMADILLO:
         10.150183252252299226         10.150183252244822540
         39.783711024671305267         39.783711024667034906
         89.074970305396945491         89.074970305392994874
         157.99317737964651087         157.99317737964156549
         246.45945344589404158         246.45945344588974990
         354.36915867077073017         354.36915867076510267
         481.59396256732520669         481.59396256731713493
         627.98236028597546010         627.98236028596409142
         793.35995112310104105         793.35995112309149135
         977.52967944574254489         977.52967944573117620
         1180.2720825828291709         1180.2720825828132547
         1401.3455581413622895         1401.3455581413393247
         1640.4866547228618856         1640.4866547228459694
         1897.4103873338069661         1897.4103873337855930
         2171.8105778052481583         2171.8105778052113237
         2463.3602201315625280         2463.3602201315297862
         2771.7118704466697636         2771.7118704466283816
         3096.4980612518188536         3096.4980612517902046
         3437.3317394444957245         3437.3317394444634374
         3793.8067276498868523         3793.8067276498441061
         4165.4982083196036911         4165.4982083195573068
         4551.9632300288740225         4551.9632300288185434
         4952.7412353740855906         4952.7412353740310209
         5367.3546098449633064         5367.3546098449014607
         5795.3092510192054760         5795.3092510191308975
         6236.0951574028731557         6236.0951574028331379
         6689.1870362158497301         6689.1870362158124408
         7154.0449293981309893         7154.0449293980600487
         7630.1148570920140628         7630.1148570919704071
         8116.8294778337040043         8116.8294778336485251
         8613.6087646668984235         8613.6087646668311208
         9119.8606963739403000         9119.8606963738420745
         9634.9819630000256439         9634.9819629999456083
         10158.358684830465791         10158.358684830374841
         10689.367143963443596         10689.367143963363560
         11227.374527607409618         11227.374527607276832
         11771.739682216326401         11771.739682216195433
         12321.813877565364237         12321.813877565227813
         12876.941579855008968         12876.941579854934389
         13436.461232923900752         13436.461232923698844
         13999.706046637084000         13999.706046636962128
         14566.004791513954842         14566.004791513805685
         15134.682598644170866         15134.682598644008976
         15705.061763942252583         15705.061763942154357
         16276.462555780672119         16276.462555780519324
         16848.204025038285181         16848.204025038125110
         17419.604816600971390         17419.604816600705817
         17989.983981344623317         17989.983981344466883
         18558.661787636203371         18558.661787635985092
         19124.960531381380861         19124.960531381158944
         19688.205343658140919         19688.205343657897174
         20247.724994970249099         20247.724994970034459
         20802.852695164183388         20802.852695163986937
         21352.926888055208110         21352.926888054993469
         21897.292039816034958         21897.292039815813041
         22435.299420188668591         22435.299420188417571
         22966.307875588012394         22966.307875587659510
         23489.684593175850750         23489.684593175574264
         24004.805854996062408         24004.805854995760455
         24511.057781269159022         24511.057781268948020
         25007.837061964484747         25007.837061964182794
         25494.551675773709576         25494.551675773484021
         25970.621595633438119         25970.621595633183460
         26435.479479951376561         26435.479479951132816
         26888.571348716170178         26888.571348715788190
         27329.357243681653927         27329.357243681337422
         27757.311871842201072         27757.311871841804532
         28171.925231427347171         28171.925231427005201
         28572.703219674043794         28572.703219673796411
         28959.168221647974860         28959.168221647683822
         29330.859679412216792         29330.859679411929392
         29687.334640864810353         29687.334640864497487
         30028.168287586482620         30028.168287586289807
         30352.954441068526648         30352.954441068188316
         30661.306046708097711         30661.306046707937639
         30952.855634991297848         30952.855634990886756
         31227.255759290357673         31227.255759290037531
         31484.179409737713286         31484.179409737400420
         31723.320402627919975         31723.320402627556177
         31944.393744804179732         31944.393744803765003
         32147.135972427251545         32147.135972426891385
         32331.305463384956965         32331.305463384662289
         32496.682722229241335         32496.682722228899365
         32643.070635554253386         32643.070635553835018
         32770.294692965457216         32770.294692965348077
         32878.203160003293306         32878.203160002871300
         32966.667156471288763         32966.667156470830378
         33035.580438014978427         33035.580438014563697
         33084.857620192124159         33084.857620191687602
         33114.415167501239921         33114.415167500636016
